Country,Alcohol Both Sexes 2008-2010,Alcohol Both Sexes 2003-2005,Alcohol Male 2008-2010,Alcohol Male 2003-2005,Alcohol Female 2008-2010,Alcohol Female 2003-2005,Drug Male 2004,Drug Female 2004,Homicides # 2012,Homicide Rate 2015,Mental Beds Rate GH 2014,Mental Beds Rate GH 2011,Mental Beds Rate CRF 2014,Mental Beds Rate CRF 2011,Mental Beds Rate MH 2014,Mental Beds Rate MH 2011,Mental Hospitals Rate 2011,Mental Hospitals Units In GH Rate 2010,Mental Hospitals Units In GH Rate 2009,Mental Hospitals Units In GH Rate 2008,Mental Hospitals Units In GH Rate 2007,Mental Hospitals Units In GH Rate 2006,Mental Hospitals Units In GH Rate 2005,Mental Hospitals Units In GH Rate 2004,Mental Health Outpatient Facilities Rate,Mental Health Day Treatment Facilities Rate,Mental Health Community Residential Facilities Rate
Afghanistan,18.87,,25.26,,5.97,,0.92,0.1,2180 [516 - 9030],7,0.32,0.84,0,0,0.32,0.34,0,,,,,,2,,0.07,0,0
Albania,12.98,,17.36,,7.25,,0.56,0.2,159 [130 - 188],4.1,3.92,4.1,3.2,3.12,15.38,16.41,0.06,,,,58,,,,0.63,0.09,0.28
Algeria,10.88,22.62,11.75,26.53,8.49,15.63,0.41,0.14,1701 [390-6998],4.2,1.65,2.33,,,9.06,11.36,0.04,,549,,,,,,1.21,0.05,
Andorra,20.15,24.99,26.56,27.71,13.01,20.4,0.65,0.21,1,,,13.84,,6.92,No data,0,0,6,,,,,,,2.31,3.46,2.31
Angola,20.94,,25.07,,12.89,,0.42,0.14,2232 [526 - 9140],9.6,,,,,0.05,0.03,0.01,4,,,,,,,0.01,,
Antigua and Barbuda,8.03,,10.56,,5.08,,0.68,0.23,4,,,0,,0,No data,124.22,1.13,1,,,,,,,10.16,1.13,0
Argentina,15.82,12.12,19.48,15.56,10.87,7.6,1.74,0.56,2445,4.7,,2.08,,,No data,26.29,0.13,,,,,,,,,,
Armenia,8.28,18.34,9.57,24.42,5.83,12.05,0.15,0.05,62,1.7,2.51,1.46,,0,47.52,46.37,0.32,,125,,,,,,0.87,0.13,0
Australia,14.55,11.89,19.71,16.26,9.01,7.23,0.6,0.28,254,0.9,325.47,28.91,9.95,10.15,7.93,10.02,0.07,,,2745,,,,,4.65,,0.66
Austria,13.84,15.71,19.02,21.92,8.55,9.52,0.71,0.22,77,1,19.53,14.39,54.92,29.95,26.8,21.31,0.08,,1653,,,,,,,0.29,3.05
Azerbaijan,5.22,,6.09,,3.62,,0.17,0.06,225,2.2,0.42,0.78,10.11,11.33,32.58,34.43,0.12,,454,,,,,,0.08,0.06,0.08
Bahamas,12.5,,14.94,,8.95,,0.67,0.22,120,23.7,,,,,No data,,,,,,,,,,,,
Bahrain,21.17,,23.6,,13.93,,0.44,0.07,10 [7 - 15],0.7,,0,,,16.81,28,0.12,,66,,,,,,0.62,0.25,0
Bangladesh,8.99,4.47,9.18,4.59,5.44,2.98,0.32,0.03,4794,2.9,0.24,0.55,2.9,0.78,0.32,0.3,0,,120,,,,,,0.04,0,0.01
Barbados,9.97,16.89,13.07,19.09,6.34,13.72,0.64,0.2,28,10.1,4.2,3.12,5.59,7.02,192.27,209.31,0.39,,,,11,,,,5.46,0,0.39
Belarus,22.09,19.15,30.92,27.95,12.79,11.3,0.06,0.02,581,6.2,3.28,4.69,,,67.69,58.51,0.15,,841,,,,,,0.15,0.26,
Belgium,12.78,12.79,17.81,17.54,7.78,7.83,0.61,0.19,117,1.1,30.44,25.59,,,137.89,134.47,0.64,,,,,,,,0.83,1.27,
Belize,29.75,17.15,32.05,20.37,21.15,9.57,1.05,0.36,145,37.2,4.71,1.28,11.77,11.5,0,0,0,,3,,,,,,2.88,0,0.32
Benin,5.44,3.67,7.02,4.18,2.93,2.7,0.42,0.14,633 [156 - 2521],6,0.43,0.22,2.83,5.43,0.94,2.17,0.02,,,,13,,,,0.16,0,0.04
Bhutan,6.92,1.56,7.99,2.49,2.18,0.21,0.24,0.03,14,1.5,20.9,,,0,21.83,0,0,,2,,,,,,4.38,0,0
Bolivia (Plurinational State of),11.31,8.55,14.54,12.61,6.57,4.41,2.15,0.71,1461,13.6,,,,0.26,9.37,9.53,0.09,,104,,,,,,0.39,0.12,0.01
Bosnia and Herzegovina,12.34,55.99,19.07,60.25,2.95,32.98,0.45,0.15,132 [32 - 566],3.1,,11.09,,0.43,No data,12.42,0.16,,,186,,,,,1.36,0.13,0.05
Botswana,20.24,26.47,25.32,29.07,9.47,15.02,0.48,0.15,249,10.8,4.91,5.01,0,0,7.11,16.79,0.1,5,,,,,,,0.86,0,0
Brazil,15.14,18.51,19.57,24.38,8.94,10.62,1.26,0.42,64357,30.5,0.4,1.31,0.95,2.31,11.64,18.13,0.11,,6003,,,,,,0.44,0.79,0.29
Brunei Darussalam,4.26,,6.98,,0.73,,0.02,0,9 [2 - 35],1.3,9.45,9.83,2.36,0,0,0,0,,2,,,,,,1.47,0.74,0
Bulgaria,16.94,16.99,24.33,22.87,8.68,9.25,1.22,0.4,141,1.5,13.64,32.61,0,,34.01,36.08,0.16,,506,,,,,,5.04,,3.43
Burkina Faso,18.01,29.24,22.68,39.7,10.11,18.81,0.43,0.14,1613 [404 - 6274],9.8,1.02,,0,,0,,,,,7,,,,,0,0,
Burundi,22.01,,26.46,,14.99,,0.48,0.15,657 [138 - 2844],6.2,,,,,1.24,0.76,0.01,1,,,,,,,0.04,0.04,0.01
C̫te d'Ivoire,25.61,27.29,27.59,31,18.21,16.49,0.51,0.17,2412 [535 - 9912],11.8,0.05,,0,,1.2,,0.01,35,,,,,,,0.04,0.02,0.01
Cabo Verde,17.86 17.86,10.30 10.30,23.01 23.01,11.63 11.63,9.41 9.41,7.62 7.62,0.42,0.13,43 [10 - 195],5.9,,9.36,,,No data,0,0,,7,,,,,,4.68,,
Cambodia,14.23 14.23,,19.85 19.85,,5.74 5.74,,2.66,0.54,356,2.2,0.07,0.1,0,0,0,0,0,,,35,,,,,0.42,0.01,0
Cameroon,19.35 19.35,13.74 13.74,24.98 24.98,17.20 17.20,10.43 10.43,9.34 9.34,0.4,0.13,2544 [606 - 11129],11.5,,0.05,,0.8,No data,0.58,0.01,5,,,,,,,0.05,,0.03
Canada,13.24 13.24,12.59 12.59,18.78 18.78,18.20 18.20,7.40 7.40,7.04 7.04,1.14,0.37,614,1.8,,,,,No data,31.38,,,,4272,,,,,,,
Central African Republic,17.5,,18.29,,15.64,,0.45,0.14,610 [140 - 2646],13.1,0.68,0.53,,0,0.71,0,0,,1,,,,,,0.02,0,0
Chad,33.85,20.68,37.49,26.16,24.74,14.23,0.5,0.16,1168 [257 - 4734],9,,0.02,,0,No data,0,0,1,,,,,,,0.01,0,0
Chile,14.63,12.65,19.15,16.68,9.3,8.16,1.92,0.63,811,4.6,5.82,2.57,9.13,8.33,6.55,2.16,0.02,,1000,,,,,,0.79,0.26,1
China,15.14,10.61,18.68,13.68,7.61,5.19,0.15,0.04,15480,0.9,,1,,,16.77,13.72,0.06,,17204,,,,,,,,
Colombia,12.9,7.66,15.19,10.63,9.44,4.7,3.14,1.04,20923,48.8,,,0,,8.72,,,,,,,,,,,,
Comoros,1.93,37.02,2.11,45.72,1.45,24.25,0.43,0.14,57 [13 - 220],7.6,,0.43,,0,No data,0,0,,1,,,,,,0,0.43,0
Congo,13.58,11.25,14.74,14.32,10.48,7.05,0.5,0.16,450 [110 - 2113],10.1,0.92,0.93,,,1.05,,0,,1,,,,,,0,,
Cook Islands,14.11,6.27,18.89,7.56,6.08,2.33,0.22,0.05,1,,,0,,0,0,0,0,,,,,,,,10.03,5.02,0
Costa Rica,10.45,9.96,12.11,11.4,7.84,7.76,0.18,0.06,407,9.2,0.77,1.88,,3.79,6.08,20.99,0.04,,108,,,,,,0.82,0.04,0.75
Croatia,15.12,26.32,19.33,31.98,10.12,18.77,0.98,0.3,54,1,19.71,19.48,,,78.98,76.04,0.16,,,452,,,,,3.38,0.41,
Cuba,8.32,11.78,12.27,13.93,2.95,6.61,0.01,0,561,4.9,10.22,10.27,0,,56.59,58.06,0.21,,1216,,,,,,3.59,0.42,
Cyprus,10.79,,13.54,,7.39,,0.44,0.07,23,2.2,4.51,5.23,,0.34,10.49,16.26,0.11,,60,,,,,,4.09,0.57,0.11
Czechia,14.63,19.54,20.24,26.59,8.97,12.36,0.12,0.04,99,0.9,11.73,13.41,,,82.37,91.64,0.18,,,1234,,,,,7.92,0.74,
Democratic People's Republic of Korea,17.94,,24.06,,3.47,,0.44,0.1,1169 [271 - 5015],4.4,,,,,No data,,,,,,,,,,,,
Democratic Republic of the Congo,12.94,7.55,14,9,10.11,5.19,0.48,0.16,8755 [1954 - 37066],13.4,,,0,0,0.43,0.74,0.01,,45,,,,,,0,0,0
Denmark,12.9,14.38,17.5,19.47,8.1,8.42,0.46,0.15,50,1.1,52.43,53.91,,,52.28,,,,774,,,,,,,,
Djibouti,23.17,,28.54,,8.89,,0.41,0.14,60 [12 - 295],6.8,6.77,,,,0,,,,,,,,,,,,
Dominica,12,13.29,14.6,16,8.37,10.39,2.86,0.96,5,,55.29,,0,0,0,0,0,,,,2,,,,19.54,0,0
Dominican Republic,12.44,11.31,14.66,12.54,9.1,8.13,0.78,0.27,2608,30.2,0.52,0.53,0,0.02,1.24,2.57,0.01,,136,,,,,,0.58,0.01,0.01
Ecuador,15.19,29.87,18.78,22.78,9.37,33.43,2.09,0.7,2144,10.2,0.03,0.36,,0.5,9.29,11.87,0.04,138,,,,,,,0.26,,
Egypt,6.03,33.64,8.61,35.23,0.9,18.2,1.3,0.46,4101 [956 - 16123],5,,0.47,,,6.56,9.4,0.04,457,,,,,,,0.11,0,
El Salvador,7.35,,8.99,,5.09,,0.9,0.3,2767,63.2,0.19,,,,6.03,0.68,0.02,10,,,,,,,0.16,0,
Equatorial Guinea,16.54,,19.86,,10.12,,0.39,0.13,26 [5 - 112],3.2,,,,,No data,,,,,,,,,,,,
Eritrea,2.45,3.88,3.89,4.93,0.79,2.07,0.5,0.16,474 [102 - 2024],7.5,,,3.06,0,2.45,3.06,0.02,,0,,,,,,0.06,0,0
Estonia,18.96,21.96,27.81,36.06,10.11,12.15,0.07,0.02,70,4.4,47.05,,0,,7.71,,0.37,181,,,,,,,,0.22,
Ethiopia,26.51,14.51,30.12,21.65,19.88,7.22,0.09,0.03,7334 [1644 - 29060],7.6,0.06,0.04,0.21,0.2,0.31,0.35,0,,36,,,,,,0.07,0,0
Fiji,7.35,10.13,10.87,11.01,1.47,4.72,0.21,0.05,20 [18 - 27],2.5,2.26,0.12,0,0,2.39,15.92,0.12,,,,2,,,,0.12,0,0
Finland,18.06,14.2,23.64,20.55,11.75,8.7,0.23,0.07,76,1.6,48.61,67.34,142.08,133.94,19.88,8.42,0.04,,,1500,,,,,2.62,,9.02
France,12.89,14.85,18.43,21.05,7.65,8.79,0.41,0.13,665,0.9,,22.72,0,,89.65,71.81,0.6,,,14000,,,,,5.75,3.5,12.76
Gabon,26.54,,33.26,,15.02,,0.39,0.13,152 [31 - 785],9,,0,,0,No data,7.99,0.07,,,4,,,,,0.13,0,0
Gambia,30.91,,34.23,,22.59,,0.39,0.13,169 [38 - 704],9.1,0,0,0,0,5.24,5.71,0.06,,3,,,,,,1.6,0,0
Georgia,21.21,13.09,22.44,14.81,18.1,9.44,1.9,0.62,209,4.2,2.31,0.71,0,0,32.32,28.44,0.14,,290,,,,,,0.47,0.07,0
Germany,14.66,13.39,20.44,19.54,8.92,7.78,0.7,0.22,653,0.7,33.96,41.08,,,52.15,47.62,0.33,,,,,,,,30.32,0.61,
Ghana,20.6,10.03,23.61,12.54,13.88,6.91,2.65,0.88,2527 [587 - 10999],10,0.15,0.33,0.15,0.1,5.67,6.16,0.02,,16,,,,,,0.16,0.01,0.01
Greece,15.58,14.99,20.41,18.35,10.13,10.82,0.77,0.25,180,2,7.44,5.1,38.7,,4.94,19,0.08,,,1440,,,,,1.32,0.4,1.31
Grenada,25.91,,29.87,,19.6,,0.03,0.01,7,,18.81,19.17,0,0,75.26,76.67,0.96,,,,2,,,,4.79,,0
Guatemala,9.06,17.66,13.88,18.84,1.72,9.96,0.94,0.32,6025,36.2,0.01,0.06,1.01,1.11,2.3,2.57,0.02,,85,,,,,,0.28,0.01,0.08
Guinea,8.36,,11.14,,1.45,,0.42,0.14,1008 [243 - 4065],8.5,0.52,0.79,0.15,0,0.76,0,0,,3,,,,,,0,0.02,0
Guinea-Bissau,13.38,,14.61,,10.13,,0.41,0.13,169 [39 - 717],9.2,,0,,0,No data,0,0,,,,,,,,0.06,0,0
Guyana,13.66,,16.66,,9.5,,0.89,0.3,160,18.8,2.49,0.53,0,0,24.89,31.52,0.13,,4,,,,,,0.26,0,0
Haiti,11.63,,14.99,,6.73,,0.78,0.26,2703 [633 - 10908],28.1,0,0,0,0,1.72,1.77,0.02,20,,,,,,,0.02,0,0
Honduras,8.44,,9.7,,6.42,,0.17,0.06,8248,85.7,0.06,0.03,,,4.03,4.65,0.03,,,,59,,,,,0.01,
Hungary,16.33,20.01,23.85,29.45,9.07,10.98,0.2,0.06,154,1.2,74.57,72.21,0,,0,2.83,0.03,,650,,,,,,8.01,0.29,
Iceland,10.4,7.66,13.26,10.75,6.98,4.96,0.72,0.24,2,1.3,43.53,42.82,155.19,119.66,0,,,,65,,,,,,2.73,2.13,17.31
India,28.74,22.25,32.07,23.93,10.63,10.35,0.24,0.03,52998,4,,0.82,,0,2.05,1.47,0,,3656,,,,,,0.33,0,0
Indonesia,7.06,16.47,9.36,16.89,1.66,11.39,0.02,0,11687 [2775 - 46330],4.3,,,,,3.96,3.31,0.02,33,,,,,,,,,
Iran (Islamic Republic of),24.78,,26.9,,17.75,,3.32,0.55,3630 [874 - 16070],4.1,2.21,1.98,6.68,5.79,7.52,7.33,0.05,,1120,,,,,,1.43,0.12,0.11
Iraq,9.12,24.02,12.65,25.29,2.05,14.81,0.66,0.24,6093 [3063 - 9886],12.7,1.26,1.11,0,,3.86,4.26,0.01,,84,,,,,,0.11,0,0
Ireland,14.7,19.34,19.77,26.19,9.28,12.15,1.05,0.34,54,0.9,,19.61,,61.02,No data,54.48,0.78,278,,,,,,,,,
Israel,5.37,5.48,6.91,6.27,2.91,4.36,1.41,0.45,160,2,3.36,4.54,44.11,225.06,40.42,42.83,0.19,600,,,,,,,1.24,0.3,3.54
Italy,9.9,13.02,11.88,17.06,7.18,8.15,0.81,0.25,530,0.9,9.55,10.95,33.44,46.41,1.47,0,0,,4693,,,,,,1.43,1.34,2.71
Jamaica,10.62,11.63,12.46,13.14,7.82,9.32,2.06,0.7,1250,35.2,1.79,2.93,,16.12,28.58,14.65,0.29,,30,,,,,,5.09,0.33,0.48
Japan,10.43,9.85,13.67,13.76,6.71,5.75,0.01,0,450,0.3,69.16,73.12,15.3,16.23,200.29,204.4,0.84,,,,12829,,,,2.31,1.05,1.57
Jordan,15.2,,16.5,,10.89,,0.63,0.1,205,3,0.6,,,2.32,6.93,5.1,0.03,,70,,,,,,0.99,0.02,0.02
Kazakhstan,26.16,21.45,31.79,29.77,18.04,12.66,0.9,0.3,1499,9,,1.74,,0,No data,61.32,0.2,,986,,,,,,0.2,0.1,0
Kenya,18.92,28.36,22.81,31.56,9.63,19,0.39,0.13,3175,8.2,1.1,,,,1.65,,,76,,,,,,,,,
Kiribati,9.6,7.42,12.78,12.18,2.36,5.86,0.21,0.05,8,,,0,,0,No data,60.27,1,,,,,,,,1,0,0
Kuwait,1.34,3.12,1.47,3.15,0.51,1.89,0.02,0,102 [72 - 133],2.5,,0,,,17.24,32.78,0.03,80,,,,,,,0.82,0.03,
Kyrgyzstan,11.26,10.37,13.56,12.76,7.36,5.99,0.23,0.08,497,7.7,1.67,1.75,,20.23,29.6,31.75,0.09,,195,,,,,,0.05,0.07,0.22
Lao People's Democratic Republic,15.17,17.17,20.95,20.8,6.22,9.06,2.64,0.56,473 [119 - 1919],6.9,0.38,0.54,0,0,0,0,0,,,,,,,,0.05,0,0
Latvia,18.14,16.49,26.53,24.92,10.05,9.72,0.2,0.06,143,6.7,10.83,12.28,,,105.09,107.26,0.27,,243,,,,,,3.35,0.22,
Lebanon,23.88,4.22,30.91,6.19,11.15,1.59,0.01,0,249 [51 - 1339],4.2,,1.1,,,0.85,39.44,0.07,,,60,,,,,0.24,0,0.16
