Country,Alcohol Both Sexes 2008-2010,Alcohol Both Sexes 2003-2005,Alcohol Male 2008-2010,Alcohol Male 2003-2005,Alcohol Female 2008-2010,Alcohol Female 2003-2005,Drug Male 2004,Drug Female 2004,Homicides # 2012,Homicide Rate 2015,Mental Beds Rate GH 2014,Mental Beds Rate GH 2011,Mental Beds Rate CRF 2014,Mental Beds Rate CRF 2011,Mental Beds Rate MH 2014,Mental Beds Rate MH 2011,Mental Hospitals Rate 2011,Mental Hospitals Units In GH Rate 2010,Mental Hospitals Units In GH Rate 2009,Mental Hospitals Units In GH Rate 2008,Mental Hospitals Units In GH Rate 2007,Mental Hospitals Units In GH Rate 2006,Mental Hospitals Units In GH Rate 2005,Mental Hospitals Units In GH Rate 2004,Mental Health Outpatient Facilities Rate,Mental Health Day Treatment Facilities Rate,Mental Health Community Residential Facilities Rate
Lesotho,21.68,16.23,25.62,18.66,13.42,10.47,0.42,0.13,770 [678 - 848],29.7,4.58,0,0,0,7.15,2.88,0.05,,1,,,,,,0.53,0,0
Liberia,15.8,,18.11,,10.64,,0.43,0.14,469 [111 - 2045],10.4,,,,,1.82,,,,,1,,,,,0.02,,
Libya,2.52,,3.16,,1.24,,0.23,0.04,157 [35 - 663],2.5,,,,,9.6,,,,,,,,,,,,
Lithuania,23.6,18.76,33.31,27.54,13.55,11.07,0.22,0.07,202,6.8,33.44,,,,65.32,106.07,0.34,,,578,,,,,2.73,0.37,
Luxembourg,12.66,,17.64,,7.71,,0.93,0.29,1,0.4,37.82,41.28,,42.09,87.32,48.19,0.2,,104,,,,,,2.44,4.27,23.18
Madagascar,12.52,4.48,13.41,4.9,9.91,3.22,0.43,0.14,1810 [452 - 7244],7.7,0.69,0.72,0.09,,0.56,0.6,0,,11,,,,,,,,
Malawi,12.76,15.54,15.86,15.35,4.63,12.95,0.51,0.17,321,1.7,,,,,No data,2.56,0.02,,2,,,,,,,,
Malaysia,10.52,30.37,13.47,32.16,2.84,14.6,0.27,0.07,1244 [292 - 6109],3.8,,3.28,,,14.05,15.01,0.01,,233,,,,,,2.58,0.23,
Maldives,13.76,,16.62,,3.61,,0.4,0.05,12 [3 - 50],3.5,1.14,0,46.36,50.97,0,0,0,,,,,5,,,0.32,0.32,0.32
Mali,29.35,36.87,36.39,62.14,2.8,1.76,0.42,0.14,1640 [413 - 6466],10.8,0.7,0.75,0.25,,1.25,0,0,,5,,,,,,0.04,,0.03
Malta,11.49,,13.71,,8.4,,0.26,0.08,12,2.9,,3.66,,5.85,No data,141.71,0.49,,13,,,,,,0.49,3.41,0.49
Marshall Islands,,,,,,,0.21,0.05,2,,,0,,0,No data,0,0,,1,,,,,,3.15,0,0
Mauritania,4.8,9.17,6.6,12.88,1.39,2.61,0.41,0.13,430 [94 - 1879],10.2,,,,,No data,1.19,0.03,,3,,,,,,0.03,0.15,
Mauritius,11.34,8.02,13.24,10.29,7.21,4.26,1.42,0.46,33,2.7,1.92,1.39,,0,80.05,53.99,0.08,,,21,,,,,0.77,0,0
Mexico,12.71,27.16,18,31.62,5.69,17.32,0.53,0.18,26597,19,0.12,0.08,0.05,,3.24,3.92,0.04,,,1740,,,,,0.03,0.05,
Micronesia (Federated States of),8.1,18.77,11.97,21.43,1.63,9.73,0.23,0.05,5,,5.78,0,0,0,11.14,0,0,,,,1,,,,3.6,3.6,0
Monaco,,,,,,,0.11,0.03,0,,149.75,173.23,,0,157.65,0,0,,12,,,,,,6.08,6.08,0
Mongolia,15.08,4.95,20.76,7.95,6.21,1.97,0.61,0.15,283,8.2,,3.89,,,No data,16.66,0.04,,14,,,,,,1.26,0.26,0.22
Montenegro,13.36,,18.74,,7.05,,,,17 [13 - 22],2.6,4.83,4.8,0,0,41.99,53.08,0.48,,44,,,,,,,0,
Morocco,17.11,23.93,22.12,20.18,3.22,14.23,0.61,0.22,810,1.6,2.08,2.39,0,,4.24,4.51,0.03,,292,,,,,,0.25,0,
Mozambique,12.65,5.48,13.03,6.26,11.68,3.79,0.5,0.16,852,3,0.51,0.84,,0,1.99,2.16,0.01,,9,,,,,,0.35,0.02,0
Myanmar,8.86,7.22,11.43,7.43,1.07,4.44,1.02,0.22,2198 [505 - 8815],3.9,0.41,0.3,,0.04,2.61,2.48,0,,44,,,,,,0.07,0,0
Namibia,27.71,31.64,34.04,35.99,18.25,25.17,0.52,0.17,446,14.6,12.01,8.27,0,0,0,0,0,,5,,,,,,0.09,0,0.05
Nauru,12.48,10.73,14.16,13.62,7.69,5.06,0.21,0.05,0,,,19.5,,0,0,0,0,0,,,,,,,9.75,0,0
Nepal,28.84,10.25,36.22,15.06,6.65,1.78,0.15,0.02,905,3.3,,1.34,,,0.18,0.15,0,,,,,53,,,0.08,0.01,
Netherlands,11.23,13.82,15.07,15.57,7.12,12.19,0.88,0.28,152,0.7,10.5,10.51,78.7,76.26,No data,127.3,0.56,,,3126,,,,,1.19,260.08,0.12
New Zealand,13.70 13.70,11.97 11.97,18.55 18.55,17.27 17.27,8.48 8.48,7.17 7.17,0.33,0.15,53,1.2,20.04,21.35,18.11,37.39,38.89,0,0,,,420,,,,,,,
Nicaragua,10.08 10.08,20.50 20.50,14.30 14.30,21.44 21.44,3.77 3.77,16.41 16.41,0.81,0.27,776,15,,,,,No data,3.37,0.02,51,,,,,,,0.58,0.07,0.27
Niger,5.61,,5.94,,4.38,,0.42,0.14,1760 [383 - 6929],10,0.87,1.01,,0,0.9,0,0,4,,,,,,,0.03,0.03,0
Nigeria,23.06 23.06,32.06 32.06,25.64 25.64,36.86 36.86,17.71 17.71,22.99 22.99,2.44,0.81,17059 [4158 - 66312],9.8,0.21,,,,1.32,2.53,0.01,,100,,,,,,0.03,,
Niue,18.21 18.21,,24.18 24.18,,7.95 7.95,,0.22,0.05,0,,,0,,0,No data,0,0,0,,,,,,,0,69.54,0
Norway,8.97 8.97,8.68 8.68,11.57 11.57,12.47 12.47,5.94 5.94,5.31 5.31,0.42,0.13,31,0.7,,,,,84.55,89.14,0.39,1494,,,,,,,3.6,,
Oman,15.47,,16.52,,11.71,,0.02,0,159 [27 - 1137],5,0.26,0.41,,0,5.6,2.2,0.03,,,67,,,,,0.89,0,0
Pakistan,1.25 1.25,30.00 30.00,1.83 1.83,30.38 30.38,0.06 0.06,16.07 16.07,0.84,0.09,15923,9.5,2.28,1.75,1.2,0,2.1,0.99,0,,342,,,,,,2.02,0,0
Palau,14.41 14.41,,19.70 19.70,,6.00 6.00,,0.21,0.05,1,,,38.97,,0,No data,0,0,1,,,,,,,19.48,38.97,0
Panama,13.36 13.36,,16.00 16.00,,9.55 9.55,,0.07,0.02,734,18.7,6.06,2.91,,0,3.82,0,0,,,,,,,,2.99,0.03,0
Papua New Guinea,8.80 8.80,,10.84 10.84,,4.43 4.43,,0.25,0.05,774,12.2,0.27,0.29,,0,1.07,1.16,0.01,7,,,,,,,0.29,0.29,0
Paraguay,14.24,12.77,17.33,14.91,9.94,9.16,0.8,0.27,649,7.5,0.23,0.23,0.81,0.43,4.93,4.64,0.02,,54,,,,,,0.62,0.02,0.05
Peru,14.61 14.61,10.00 10.00,18.58 18.58,13.41 13.41,8.62 8.62,5.63 5.63,1.85,0.62,3295,14.6,0.25,,0.05,,3.65,3.62,0.01,,,168,,,,,2.47,,
Philippines,12.28 12.28,17.01 17.01,16.67 16.67,18.95 18.95,5.17 5.17,10.88 10.88,0.34,0.09,12029 [10713 - 13329],11.6,1.08,,0.03,1.56,4.95,4.49,0,,352,,,,,,0.05,0,0.02
Poland,24.16,17.86,31.51,26.13,13.96,9.51,0.66,0.21,418,0.9,15.25,14.3,14.16,0.11,35.01,39.47,0.14,,,1952,,,,,3.2,0.65,0.01
Portugal,22.60 22.60,27.45 27.45,27.06 27.06,32.26 32.26,16.44 16.44,19.86 19.86,1.24,0.39,150,1.1,7.36,9.41,6.3,2.07,8.09,15.96,0.06,,,,,,,659,0.81,0.27,0.2
Qatar,22.75 22.75,,24.09 24.09,,11.06 11.06,,0.02,0,146 [24 - 1037],8.1,0,0,0.44,0.99,3.04,3.98,0.07,25,,,,,,,1.06,0.13,0.07
Republic of Korea,27.54 27.54,19.89 19.89,37.57 37.57,28.85 28.85,11.50 11.50,7.73 7.73,0.42,0.1,993,2,54.53,41.24,4.73,3.65,113.11,149.23,2.54,,2483,,,,,,2.35,0.11,0.26
Republic of Moldova,25.41,23.39,35.38,32.04,14.8,13.57,0.03,0.01,265,5.5,5.37,0.84,,,59.8,58.17,0.08,180,,,,,,,1.51,0.08,
Romania,21.33,24.48,30.69,31.75,10.92,15.02,0.06,0.02,457,1.5,21.26,36.38,0,,50.56,38.26,0.18,1367,,,,,,,0.42,0.2,
Russian Federation,22.30 22.30,26.71 26.71,32.00 32.00,35.38 35.38,12.59 12.59,16.32 16.32,0.72,0.23,18780,10.3,,1.75,,0.25,102.78,109.53,0.26,,16299,,,,,,2.97,0.31,0.01
Rwanda,21.96 21.96,,27.19 27.19,,14.31 14.31,,0.09,0.03,665 [154 - 2726],5.1,,0.7,,0.21,2.9,3.02,0.01,,5,,,,,,0.01,0.01,0.01
Saint Kitts and Nevis,19.31,,21.94,,14.95,,0.68,0.23,7,,,22.91,,0,No data,0,0,,,,1,,,,13.37,0,0
Saint Lucia,19.88,,23.98,,14.05,,0.23,0.08,28,,,,,0,53.38,68.99,0.57,,,,3,,,,5.17,0,0
Saint Vincent and the Grenadines,11.77 11.77,,13.61 13.61,,8.87 8.87,,0.8,0.27,15,,0,,0,0,96,146.41,0.92,,,,2,,,,4.58,0,0
Samoa,8.05 8.05,17.98 17.98,11.83 11.83,19.50 19.50,1.63 1.63,7.24 7.24,0.24,0.05,7,,0.52,0,,0,0.52,,,,,1,,,,,0.56,0.56,0
San Marino,,,,,,,0.05,0.02,0,,0,,0,22.2,0,,,5,,,,,,,3.17,6.34,3.17
Sao Tome and Principe,18.54 18.54,10.10 10.10,23.31 23.31,12.51 12.51,10.44 10.44,6.68 6.68,0.41,0.13,14,,,18.14,,0,12.13,18.14,0.6,,1,,,,,,0.6,0.6,0
Saudi Arabia,3.94 3.94,,4.33 4.33,,2.73 2.73,,0.01,0,1829 [405 - 8559],5.8,0.27,0.38,,0.91,19.5,11.43,0.08,,765,,,,,,0.36,0.01,0.01
Senegal,10.19 10.19,30.00 30.00,10.72 10.72,33.45 33.45,7.07 7.07,15.27 15.27,0.07,0.02,1087 [266 - 4449],7.3,0.55,0.6,0.46,0.51,0.85,1.91,0.04,,42,,,,,,0.08,0,0.01
Serbia,19.04 19.04,,27.00 27.00,,9.91 9.91,,,,154,1.7,19.83,,,,39.03,39.37,0.05,947,,,,,,,0.73,,
Seychelles,12.66,12.14,15.79,17.34,7.21,8.12,0.36,0.12,9,,26.79,,0,0,42.87,47.28,1.18,,2,,,,,,1.18,0,0
Sierra Leone,19.49 19.49,24.86 24.86,25.30 25.30,31.67 31.67,10.41 10.41,16.73 16.73,0.02,0.01,774 [174 - 3331],13.2,,0,,0,6.45,3.43,0.02,,,1,,,,,0,0,0
Singapore,3.95 3.95,3.06 3.06,4.73 4.73,3.65 3.65,2.43 2.43,2.47 2.47,0.28,0.07,33,2.7,1.41,1.41,6.45,35.46,36.43,40.85,0.02,,136,,,,,,0.06,0.52,0.27
Slovakia,19.81,17.31,28.78,28.18,10.03,8.13,1.11,0.36,75,1.3,,38.1,,248.89,No data,30.93,0.17,,,621,,,,,6.39,0.33,4.93
Slovenia,17.16 17.16,17.93 17.93,22.39 22.39,24.22 24.22,11.21 11.21,11.38 11.38,0.33,0.1,14,0.6,8.67,8.89,11.9,10.47,57.09,67.66,0.3,,143,,,,,,4.59,1.09,2.22
Solomon Islands,5.22 5.22,4.60 4.60,6.99 6.99,5.51 5.51,1.27 1.27,1.44 1.44,0.25,0.05,27 [6 - 112],4.1,,0.75,,0,3.49,4.48,0.19,,,,,,,,,0,0
Somalia,9.20 9.20,,10.72 10.72,,4.17 4.17,,0.45,0.15,560 [130 - 2370],5.6,,1.39,,0,1.86,4.17,0.12,,4,,,,,,0.14,0.01,0
South Africa,27.09 27.09,34.91 34.91,32.76 32.76,39.64 39.64,16.01 16.01,23.84 23.84,0.63,0.2,18698,26.2,,2.7,,3.47,22.72,19.5,0.12,,136,,,,,,6.85,0.16,0.12
Spain,16.42,21.13,21.65,24.79,10.6,15.58,1.8,0.57,364,0.8,11.91,10.19,0,,26.81,32.73,0.19,3894,,,,,,,1.15,0.25,
Sri Lanka,20.09,8.98,26.74,9.32,2.88,6.93,0.4,0.11,795,3.1,3.61,1.47,1.21,1.27,4.8,7.54,0,,,60,,,,,1.36,0.12,0.05
Sudan,24.12,,33.54,,7.1,,0.41,0.13,2435 [585 - 9560],6.5,0.38,0.9,0,1.62,2.34,0.42,0,28,,,,,,,0.04,0,0.02
Suriname,12.78,,15.08,,9.33,,0.5,0.17,50,10.7,0,0,0,0,45.96,47.87,0.19,,,6,,,,,0.76,0.19,0
Swaziland,12.98,20.96,19.4,33.89,3.26,4.73,0.45,0.15,239,20,0,0,0,0,15.15,12.48,0.08,,2,,,,,,0,0.83,0
Sweden,13.32,12.48,17.13,16.68,8.85,7.84,0.23,0.07,72,1.2,,34.91,,,No data,0,0,,330,,,,,,,,
Switzerland,12.08,13.42,16.51,17.71,7.5,8.43,0.77,0.24,46,0.6,,,,,72.47,101.05,0.79,,,3146,,,,,5.08,1.46,
Syrian Arab Republic,16.3,32.5,21.54,34.38,2.9,11.52,0.03,0,544,2.5,0.09,0.22,,0.78,0.87,6.09,0.02,,70,,,,,,0.11,0,0.16
Tajikistan,30.34,,31.05,,28.3,,1.24,0.45,145,1.3,7.37,1.41,,,9.75,19.79,0.21,,96,,,,,,0.69,0.1,
Thailand,23.83,23.92,30.32,29.07,5.25,6.21,0.7,0.18,3704,4,0.57,0.09,,,6.36,12.79,0.03,,,302,,,,,0.14,0,0
The former Yugoslav republic of Macedonia,11.71,,14.8,,7.08,,0.67,0.12,37,1.4,,7.34,,1.22,No data,56.28,0.2,,,204,,,,,0.93,0.39,0.2
Timor-Leste,7.97,,9.47,,2.56,,0,0,54 [13 - 219],4.4,0,,1.04,,0,,,,2,,,,,,,,
Togo,3.68,,5.48,,1.64,,0.41,0.14,618 [152 - 2392],9.1,0.34,0.29,0.57,0,1.72,1.77,0.01,,,2,,,,,0.1,0.03,0
Tonga,4.79,31.76,6.54,37.83,1.11,13.67,0.21,0.04,5,,24.58,0,,0,0,21.1,0.96,2,,,,,,,5.75,0,0
Trinidad and Tobago,13.18,,15.61,,9.56,,0.72,0.24,472,32.8,3.87,2.6,9.3,14.51,65.17,74.42,0.07,,,23,,,,,2.31,0.22,0.6
Tunisia,26.23,20.7,35.06,20.75,1.01,17.18,0.22,0.04,199 [47 - 853],1.6,4.03,3.38,1.12,23.64,5.56,5.88,0.01,,,205,,,,,0.43,0.01,0.77
Turkey,17.26,29.42,19.65,31.22,8.24,19.39,0.03,0.01,2020,2.4,3.84,5.56,,0.01,5.42,4.54,0.01,1616,,,,,,,,0.01,0
Turkmenistan,10.99,,11.62,,8.41,,0.19,0.06,223 [54 - 901],4.2,,,,,No data,,,,,,,,,,,,
Tuvalu,6.14,,7.29,,3.37,,0.22,0.05,0,,,,,,No data,,,,,,,,,,,,
Uganda,23.7,28.16,25.62,37.64,19.6,16.59,0.09,0.03,4358,13.1,1.17,1.24,,0,1.42,1.48,0,,31,,,,,,0.08,0,0
Ukraine,20.34,27.91,29.98,37.38,11.19,17.07,0.29,0.09,2381,6,,0.65,,,No data,92.85,0.19,,4592,,,,,,0.07,0.23,
United Arab Emirates,32.83,7.2,34.36,7.74,17.77,3.13,0.38,0.06,375 [62 - 2755],3.7,0.36,0.53,0,0,0.85,1.7,0.02,14,,,,,,,0.06,0,0
United Kingdom of Great Britain and Northern Ireland,13.79,15.62,18.95,21.58,8.51,9.46,1.29,0.41,922,1.3,,,,,34.08,,,,9220,,,,,,,,
United Republic of Tanzania,18.41,31.84,21.94,43.14,12.71,21.49,0.05,0.02,3831 [905 - 16023],7.6,,1.47,,0.8,1.48,1.55,0,17,,,,,,,0.28,0,
United States of America,13.27,14.43,18.12,19.98,7.78,8.45,1.83,0.58,17293,5.3,11.47,14.36,15.15,22.29,23.56,19.44,0.25,24758,,,,,,,1.95,,0.65
Uruguay,12.87,17.92,16.07,21.53,8.68,12.74,0.43,0.14,267,7.6,6.14,,,,39.37,,,,,581,,,,,,,
Uzbekistan,12.24,,13.08,,8.97,,0.43,0.15,920 [767 - 1066],3,0.58,0.97,0,0,15.28,16.89,0.04,,,937,,,,,0.09,0.06,0
Vanuatu,4.25,4.7,5.67,4.61,1.04,1.68,0.23,0.05,7,,,1.63,,0,0.77,0,0,,,0,,,,,2.44,2.03,0
Venezuela (Bolivarian Republic of),15.1,,18.15,,10.72,,2.26,0.76,17259,51.7,,,,,No data,,,,,,,,,,,,
Viet Nam,17.19,15.64,27.37,16.1,0.89,11.6,0.47,0.1,3605 [830 - 14008],3.9,1.13,0.34,,,6.81,17.97,0.04,,900,,,,,,0.07,0,
Yemen,6.13,,8.31,,1.89,,0.59,0.22,1300,6.1,,0.53,,,No data,2.83,0.02,,,,,,,,0.04,,0.02
Zambia,13.15,23.94,14.51,24.86,9.56,21.36,0.53,0.17,1476 [372 - 5968],9.7,2,1.51,0.33,0.45,2,1.58,0.01,4,,,,,,,0.54,0.01,0.03
Zimbabwe,14.62,35.25,21.56,36.69,2.94,23.53,0.08,0.03,2066 [521 - 8051],28.5,1.1,1.13,0.96,1.47,12.38,9.19,0.03,,7,,,,,,0.02,0.02,0.08
South Sudan,,,,,,,,,524 [117 - 2257],4.5,0.14,,0,,0,,,,,,,,,,,,
Sudan (former),,,,,,,,,,,,,,,2.83,,,,,,,,,,,,